iter	Passed	Remaining
440	1362	1726
441	1365	1724
442	1367	1719
443	1370	1716
444	1372	1711
445	1374	1707
446	1375	1702
447	1378	1698
448	1380	1694
449	1382	1689
450	1384	1685
451	1386	1680
452	1387	1675
453	1389	1671
454	1393	1668
455	1394	1664
456	1396	1659
457	1398	1655
458	1400	1650
459	1402	1646
460	1407	1645
461	1409	1641
462	1411	1636
463	1413	1632
464	1414	1627
465	1417	1624
466	1419	1620
467	1421	1616
468	1423	1611
469	1424	1606
470	1428	1604
471	1430	1600
472	1432	1595
473	1433	1591
474	1435	1587
475	1437	1582
476	1439	1578
477	1441	1574
478	1443	1570
479	1445	1565
480	1447	1561
481	1450	1558
482	1454	1556
483	1456	1552
484	1459	1549
485	1461	1545
486	1463	1541
487	1465	1537
488	1467	1533
489	1469	1529
490	1471	1525
491	1472	1520
492	1477	1519
493	1479	1515
494	1482	1512
495	1484	1508
496	1486	1504
497	1489	1501
498	1491	1497
499	1494	1494
500	1496	1490
501	1497	1485
502	1499	1481
503	1501	1477
504	1503	1473
505	1506	1470
506	1508	1466
507	1509	1462
508	1511	1457
509	1514	1455
510	1516	1451
511	1518	1447
512	1521	1443
513	1522	1439
514	1524	1435
515	1526	1431
516	1528	1428
517	1530	1424
518	1532	1420
519	1534	1416
520	1536	1413
521	1539	1409
522	1541	1405
523	1543	1402
524	1544	1397
525	1546	1393
526	1549	1390
527	1551	1386
528	1553	1383
529	1555	1379
530	1557	1375
531	1558	1371
532	1562	1368
533	1565	1365
534	1567	1362
535	1569	1358
536	1570	1354
537	1575	1352
538	1577	1349
539	1579	1345
540	1581	1342
541	1583	1338
542	1585	1334
543	1588	1331
544	1590	1327
545	1592	1324
546	1594	1320
547	1596	1316
548	1597	1312
549	1599	1309
550	1602	1305
551	1604	1301
552	1605	1298
553	1608	1294
554	1610	1291
555	1612	1287
556	1614	1284
557	1616	1280
558	1617	1275
559	1621	1274
560	1623	1270
561	1625	1266
562	1627	1262
563	1628	1259
564	1630	1255
565	1632	1251
566	1634	1248
567	1636	1244
568	1637	1240
569	1639	1236
570	1644	1235
571	1646	1232
572	1648	1228
573	1650	1224
574	1651	1220
575	1655	1218
576	1657	1215
577	1659	1211
578	1661	1207
579	1662	1204
580	1664	1200
581	1665	1196
582	1668	1193
583	1670	1189
584	1672	1186
585	1673	1182
586	1675	1178
587	1677	1175
588	1678	1171
589	1681	1168
590	1683	1165
591	1685	1161
592	1687	1158
593	1689	1154
594	1690	1150
595	1694	1148
596	1695	1144
597	1697	1141
598	1699	1137
599	1701	1134
600	1703	1130
601	1705	1127
602	1708	1124
603	1710	1121
604	1712	1117
605	1714	1114
606	1718	1112
607	1720	1109
608	1724	1107
609	1726	1103
610	1727	1099
611	1730	1097
612	1732	1093
613	1734	1090
614	1736	1086
615	1737	1083
616	1738	1079
617	1741	1076
618	1744	1073
619	1745	1070
620	1747	1066
621	1749	1063
622	1751	1059
623	1753	1056
624	1756	1053
625	1757	1050
626	1759	1046
627	1761	1043
628	1762	1039
629	1765	1037
630	1767	1033
631	1769	1030
632	1771	1026
633	1773	1023
634	1774	1019
635	1776	1016
636	1778	1013
637	1781	1010
638	1784	1008
639	1786	1004
640	1788	1001
641	1791	999
642	1793	995
643	1795	992
644	1797	989
645	1799	985
646	1801	982
647	1803	979
648	1805	976
649	1807	973
650	1808	969
651	1810	966
652	1812	963
653	1814	959
654	1816	956
655	1817	953
656	1819	949
657	1821	946
658	1823	943
659	1825	940
660	1827	937
661	1829	933
662	1830	930
663	1832	927
664	1835	924
665	1837	921
666	1839	918
667	1841	915
668	1842	911
669	1844	908
670	1846	905
671	1848	902
672	1850	899
673	1852	895
674	1853	892
675	1855	889
676	1858	886
677	1860	883
678	1862	880
679	1863	877
680	1866	874
681	1867	870
682	1869	867
683	1871	864
684	1873	861
685	1875	858
686	1877	855
687	1878	851
688	1880	848
689	1882	845
690	1884	842
691	1886	839
692	1887	836
693	1890	833
694	1891	830
695	1893	827
696	1895	823
697	1898	821
698	1899	818
699	1904	816
700	1907	813
701	1909	810
702	1911	807
703	1912	804
704	1913	800
705	1915	797
706	1918	794
707	1920	791
708	1921	788
709	1923	785
710	1924	782
711	1926	779
712	1928	776
713	1933	774
714	1935	771
715	1938	768
716	1940	765
717	1942	762
718	1943	759
719	1945	756
720	1947	753
721	1948	750
722	1950	747
723	1952	744
724	1954	741
725	1956	738
726	1957	735
727	1959	732
728	1962	729
729	1964	726
730	1967	723
731	1968	720
732	1970	717
733	1971	714
734	1973	711
735	1974	708
736	1976	705
737	1978	702
738	1980	699
739	1981	696
740	1983	693
741	1985	690
742	1988	687
743	1990	684
744	1991	681
745	1993	678
746	1994	675
747	1997	672
748	1999	670
749	2002	667
750	2003	664
751	2005	661
752	2006	658
753	2007	655
